Protein Group	Protein ID	Accession	-10lgP	Coverage (%)	Coverage (%) Sample 1	Area Sample 1	#Peptides	#Unique	#Spec Sample 1	PTM	Avg. Mass	Description
20	34	LLHKPE_00675	369,7	61	61	4,3E+09	29	20	89	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	71668	acetate--CoA ligase
19	20	LLHKPE_01605	379,8	62	62	7,4E+08	32	18	89	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	63980	fumarate reductase (quinol) flavoprotein subunit
21	11	FCFFJI_00405	359,91	76	76	2,3E+09	27	19	87	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	50617	F0F1 ATP synthase subunit beta
22	21	LLHKPE_00710	364,16	64	64	1,4E+09	28	19	85	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	63539	crotonyl-CoA carboxylase/reductase
24	6	FCFFJI_02367	330,85	75	75	1,1E+09	31	29	85	Deamidation (NQ); Oxidation (M)	54419	Cell envelope protein
23	7	LLHKPE_03317	372,02	66	66	9,7E+08	27	13	85	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	57961	chaperonin GroEL
26	39	LLHKPE_01512	369,84	58	58	1,7E+09	30	16	84	Deamidation (NQ); Oxidation (M)	68206	Polyhydroxyalkanoate synthase
27	3	LLHKPE_02050	366,91	84	84	4,1E+08	30	8	84	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	49584	F0F1 ATP synthase subunit beta
28	435	LLHKPE_01685	315,74	45	45	1,3E+10	12	12	83	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	52613	DNRLRE domain-containing protein
29	15	FCFFJI_01613	399,22	72	72	2,5E+09	34	34	83	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	68347	Class I poly(R)-hydroxyalkanoic acid synthase
31	2	LLHKPE_00524	341,97	84	84	1,8E+09	28	17	81	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	54613	Glycosyl hydrolase family 57
30	19	LLHKPE_03895	378,43	69	69	1,5E+09	42	28	81	Carbamidomethylation; Oxidation (M)	64773	isocitrate dehydrogenase (NADP(+))
32	53	LLHKPE_01051	382,51	51	51	9,1E+08	44	29	80	Carbamidomethylation; Oxidation (M)	130372	pyruvate:ferredoxin (flavodoxin) oxidoreductase
33	210	BDJIJG_01353	309,24	65	65	3,2E+07	22	1	80	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	35696	type I glyceraldehyde-3-phosphate dehydrogenase
34	43	FCFFJI_00093	368,91	58	58	1,6E+09	37	29	77	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	92663	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase
37	129	FCFFJI_02319	329,34	85	85	4,9E+09	22	22	76	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	40461	Acetyl-CoA C-acyltransferase family protein
36	216	FCFFJI_01922	322,4	67	67	2,5E+09	17	12	76	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	35165	malate dehydrogenase
35	32	JABIIP_01758	355,82	62	62	8,7E+08	30	25	76	Deamidation (NQ); Oxidation (M)	68457	Poly-beta-hydroxybutyrate polymerase
38	215	LLHKPE_02143	351,79	77	77	1,2E+09	24	14	73	Deamidation (NQ); Oxidation (M)	36357	C4-dicarboxylate-binding periplasmic protein
39	85	LLHKPE_02862	358,51	82	82	2,2E+09	24	10	72	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	41390	Phosphoglycerate kinase
40	153	LLHKPE_01272	341,24	80	80	1,5E+09	25	17	72	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	39821	proton-translocating NAD(P)(+) transhydrogenase
41	35	JABIIP_02384	355,03	63	63	3,3E+08	30	11	71	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	67903	phosphoenolpyruvate carboxykinase (GTP)
42	234	LLHKPE_02739	338,5	67	67	7,4E+09	19	19	70	Carbamidomethylation; Deamidation (NQ)	43722	DUF4331 domain-containing protein
44	141	FCFFJI_01428	328,83	67	67	2,1E+09	25	25	70	Deamidation (NQ); Oxidation (M)	37140	TRAP transporter substrate-binding protein
43	54	DHPIBI_00441	371,3	47	47	9,8E+07	31	3	70	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	101346	pyruvate  phosphate dikinase
45	160	JABIIP_00976	334,97	71	71	1,4E+08	23	5	69	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	45494	phosphopyruvate hydratase
48	70	LLHKPE_00746	337,15	52	52	1,3E+09	32	30	67	Deamidation (NQ); Oxidation (M)	103148	Sulfatase
47	40	LLHKPE_03141	352,43	62	62	1,0E+09	24	16	67	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	65445	succinate dehydrogenase flavoprotein subunit
46	61	JABIIP_02458	356,37	48	48	2,0E+08	33	15	67	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	95575	Alpha-1 4 glucan phosphorylase
49	67	FCFFJI_02627	353,6	43	43	4,8E+08	43	38	66	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	157890	DNA-directed RNA polymerase subunit beta
50	154	LLHKPE_00957	352,09	77	77	2,1E+09	26	11	65	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	41526	Extracellular ligand-binding receptor
52	258	FCFFJI_00865	304,27	53	53	1,8E+09	17	12	64	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	51721	type I glutamate--ammonia ligase
51	23	LLHKPE_01236	345,5	67	67	5,5E+08	37	21	64	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	92799	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase
54	55	LLHKPE_00940	344,5	51	51	1,2E+09	27	17	63	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	87879	hypothetical protein
55	30	LLHKPE_02048	350,19	66	66	1,1E+09	29	15	63	Carbamidomethylation; Oxidation (M)	55856	F0F1 ATP synthase subunit alpha
56	422	JABIIP_00346	278,13	52	52	4,9E+08	13	5	63	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	35200	malate dehydrogenase
53	4	JABIIP_01230	346,4	77	77	5,5E+07	24	4	63	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	49454	F0F1 ATP synthase subunit beta
57	47	FCFFJI_01351	351,31	53	53	7,6E+08	37	34	62	Carbamidomethylation; Oxidation (M)	100840	pyruvate dehydrogenase (acetyl-transferring)  homodimeric type
58	37	LLHKPE_00470	361,36	54	54	3,7E+08	28	8	62	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	79872	methylmalonyl-CoA mutase
59	31	JABIIP_00347	325,05	60	60	3,0E+08	29	10	62	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	70412	propionate--CoA ligase
60	97	AIFLKA_01000	317	49	49	4,3E+07	22	4	61	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	67581	phosphoenolpyruvate carboxykinase (GTP)
61	317	JABIIP_01958	304,5	72	72	2,7E+07	17	2	61	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	38568	class II fructose-bisphosphate aldolase
62	52	FCFFJI_01030	333,53	54	54	1,9E+09	21	21	60	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	64196	Poly-beta-hydroxybutyrate polymerase
66	84	LLHKPE_01945	350,08	86	86	1,5E+09	25	10	60	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	39769	Leucine transporter subunit periplasmic-binding component of ABC superfamily
63	41	LLHKPE_03554	355,42	56	56	5,2E+08	29	14	60	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	76932	elongation factor G
65	189	JABIIP_01038	338,97	72	72	1,1E+08	20	2	60	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	41546	Phosphoglycerate kinase
64	80	AIFLKA_01493	324,79	39	39	2,8E+07	26	3	60	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	95468	Alpha-1 4 glucan phosphorylase
67	274	LGNCKJ_01570	317,79	53	53	2,8E+07	19	3	60	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	45643	phosphopyruvate hydratase
69	413	LLHKPE_00879	343,87	85	85	2,7E+09	20	17	59	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	28674	RES domain-containing protein
68	130	JABIIP_01037	305,51	78	78	1,8E+08	23	8	59	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	35819	type I glyceraldehyde-3-phosphate dehydrogenase
70	91	LLHKPE_01052	345,05	59	59	8,5E+08	23	9	58	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	60548	Pyridine nucleotide-disulphide oxidoreductase family protein
71	144	LGNCKJ_02221	307,2	55	55	2,1E+07	18	3	58	Deamidation (NQ); Oxidation (M)	57942	chaperonin GroEL
73	74	FCFFJI_02151	344,22	45	45	1,5E+09	35	34	57	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	105147	2-oxoglutarate dehydrogenase E1 component
72	76	LLHKPE_02106	342,42	43	43	3,0E+08	38	38	57	Deamidation (NQ)	143996	XrtA/PEP-CTERM system TPR-repeat protein PrsT
74	305	AIFLKA_02103	311,35	58	58	2,1E+07	17	3	57	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	45529	phosphopyruvate hydratase
78	10	LLHKPE_00701	344,37	68	68	1,2E+09	29	20	56	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	62577	Putative acyl-CoA dehydrogenase
76	75	LLHKPE_01886	328,28	40	40	4,2E+08	40	40	56	Carbamidomethylation; Deamidation (NQ)	188902	Alpha-2-macroglobulin
75	167	AIFLKA_02758	335,28	68	68	2,6E+07	19	2	56	Carbamidomethylation; Oxidation (M)	39909	Phosphoglycerate kinase
81	790	FCFFJI_02210	297,69	55	55	2,9E+09	15	15	55	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	24459	DUF47 family protein
80	1329	LLHKPE_00385	295,38	55	55	1,2E+09	11	11	55	Carbamidomethylation; Deamidation (NQ)	17826	Putative cache sensor protein
79	209	JABIIP_00299	292,99	75	75	5,4E+08	18	10	55	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	42722	Acetyl-CoA C-acyltransferase
85	834	LLHKPE_01483	259,76	68	68	1,9E+09	11	3	54	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	20290	Cache type 2 domain protein
82	73	FCFFJI_01107	347,06	34	34	4,0E+08	32	31	54	Carbamidomethylation; Deamidation (NQ)	168945	glutamate synthase large subunit
84	307	DCJHLG_02815	286,41	66	66	4,8E+07	19	3	54	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	35754	type I glyceraldehyde-3-phosphate dehydrogenase
83	233	LGNCKJ_01047	276,23	64	64	1,1E+07	20	2	54	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	35626	type I glyceraldehyde-3-phosphate dehydrogenase
87	262	FCFFJI_00224	289,66	53	53	1,6E+09	15	14	53	Carbamidomethylation; Oxidation (M)	37259	polyphosphate kinase 2
88	96	LLHKPE_00471	354,69	48	48	1,5E+09	23	19	53	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	76346	methylmalonyl-CoA mutase
86	28	FCFFJI_02474	348,94	54	54	6,7E+08	26	22	53	Carbamidomethylation; Deamidation (NQ)	68054	phosphoenolpyruvate carboxykinase (GTP)
89	350	JABIIP_02930	297,15	74	74	6,4E+08	17	10	53	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	26575	Acetoacetyl-CoA reductase
91	36	JABIIP_01232	320,72	57	57	1,0E+08	25	5	53	Carbamidomethylation; Oxidation (M)	55893	F0F1 ATP synthase subunit alpha
90	433	LGNCKJ_02550	280,12	61	61	2,4E+07	13	2	53	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	26629	Acetoacetyl-CoA reductase
93	24	LLHKPE_01515	343,34	67	67	3,4E+08	25	8	52	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	56077	Methylmalonyl-CoA carboxyltransferase
92	62	AIFLKA_02199	310,13	56	56	7,6E+07	27	6	52	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	70334	propionate--CoA ligase
95	318	FCFFJI_02160	327,8	57	57	2,8E+09	17	17	51	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	43710	ABC transporter substrate-binding protein
96	1	LLHKPE_00788	387,72	81	81	8,0E+08	27	19	51	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	59404	alpha-D-glucose phosphate-specific phosphoglucomutase
94	38	FCFFJI_00407	341,33	60	60	7,2E+08	30	20	51	Carbamidomethylation; Oxidation (M)	55277	F0F1 ATP synthase subunit alpha
98	1089	LLHKPE_00096	274,02	54	54	5,3E+09	10	10	50	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	41429	Porin domain-containing protein
97	87	FCFFJI_01918	323,76	52	52	8,6E+08	22	17	50	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	64476	succinate dehydrogenase flavoprotein subunit
99	101	FCFFJI_00648	331,73	49	49	6,6E+08	25	25	50	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	62460	biosynthetic-type acetolactate synthase large subunit
101	78	HKHPLO_00073	319,5	44	44	6,5E+08	31	31	50	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	106929	TonB-dependent siderophore receptor
102	1076	BDJIJG_01360	231,45	32	32	2,7E+07	7	3	50	Deamidation (NQ); Oxidation (M)	35053	malate dehydrogenase
100	221	DHPIBI_01108	295,97	27	27	1,7E+06	21	1	50	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	95768	Alpha-1 4 glucan phosphorylase
104	193	LLHKPE_00968	321,93	58	58	1,0E+09	20	7	49	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	47554	isocitrate lyase
106	133	LLHKPE_00134	307,45	44	44	8,6E+08	20	20	49	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	70202	Arylsulfatase
105	166	FCFFJI_00874	304,47	77	77	5,8E+08	19	18	49	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	38090	Malyl-CoA lyase
110	92	LLHKPE_01147	320,53	67	67	1,6E+09	21	12	48	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	41150	ADP-forming succinate--CoA ligase subunit beta
111	235	FCFFJI_02163	331,67	65	65	1,2E+09	20	20	48	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	45559	Bifunctional O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase
107	89	JABIIP_02836	312,36	54	54	1,3E+08	23	10	48	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	64281	fumarate reductase (quinol) flavoprotein subunit
108	247	LGNCKJ_00150	305,39	47	47	1,2E+08	19	5	48	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	62642	phosphoenolpyruvate carboxykinase (GTP)
114	755	FCFFJI_02291	282,07	78	78	2,2E+09	10	9	47	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	21405	Superoxide dismutase
112	65	FCFFJI_00188	324,02	48	48	4,9E+08	26	26	47	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	95361	Cytochrome c
116	68	LLHKPE_01859	312,75	54	54	4,8E+08	27	23	47	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	83791	NADH-quinone oxidoreductase subunit NuoG
115	627	LGNCKJ_00119	257,05	43	43	7,1E+07	11	4	47	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	35291	malate dehydrogenase
113	110	LGNCKJ_02101	310,42	44	44	1,5E+07	22	3	47	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	71614	acetate--CoA ligase
123	714	LLHKPE_01490	302,09	88	88	1,4E+09	13	6	46	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	21364	Superoxide dismutase
122	27	FCFFJI_00372	345,13	67	67	1,2E+09	27	27	46	Deamidation (NQ); Oxidation (M)	66781	TonB-dependent receptor
120	46	FCFFJI_02692	346,25	55	55	6,7E+08	27	23	46	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	77367	elongation factor G
124	145	FCFFJI_01151	301,93	60	60	5,0E+08	22	18	46	Carbamidomethylation; Oxidation (M)	45119	NADP-dependent isocitrate dehydrogenase
121	22	LLHKPE_01290	338,16	68	68	4,5E+08	23	17	46	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	56184	Fumarate hydratase class I
118	72	LLHKPE_03358	336,27	47	47	3,3E+08	35	23	46	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	99144	pyruvate dehydrogenase (acetyl-transferring)  homodimeric type
117	95	JABIIP_01279	322,6	54	54	2,4E+08	21	8	46	Deamidation (NQ); Oxidation (M)	57720	chaperonin GroEL
119	109	LGNCKJ_00120	287,64	39	39	4,9E+07	20	3	46	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	70236	propionate--CoA ligase
125	204	DHPIBI_03447	296,85	59	59	1,9E+09	17	12	45	Carbamidomethylation; Oxidation (M)	41535	elongation factor Tu
131	90	FCFFJI_01881	336,73	71	71	6,7E+08	21	21	45	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	43634	Aminotransferase
128	59	LLHKPE_00969	338,45	56	56	6,2E+08	25	10	45	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	59798	malate synthase A
128	60	ODMPFI_03282	338,45	56	56	6,2E+08	25	10	45	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	59798	malate synthase A
130	33	FCFFJI_00620	327,75	65	65	3,7E+08	27	14	45	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	59424	malate synthase A
129	619	AIFLKA_02200	261,6	44	44	6,9E+07	10	3	45	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	35203	malate dehydrogenase
126	63	JABIIP_00068	337,42	41	41	3,7E+07	21	4	45	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	79500	methylmalonyl-CoA mutase
134	585	LLHKPE_01146	301,02	69	69	1,2E+09	14	5	44	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	29478	succinate--CoA ligase subunit alpha
132	132	AIFLKA_02351	304,74	34	34	1,1E+08	16	7	44	Deamidation (NQ); Oxidation (M)	68470	Poly-beta-hydroxybutyrate polymerase
137	8	FCFFJI_00625	316,12	75	75	9,5E+08	22	17	43	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	47768	isocitrate lyase
138	102	LLHKPE_02105	304	53	53	6,1E+08	22	14	43	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	60671	glucose-6-phosphate isomerase
136	99	FCFFJI_00357	286,52	40	40	3,5E+08	19	16	43	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	73566	acetyl-CoA carboxylase biotin carboxylase subunit
135	79	JABIIP_01678	293,34	37	37	6,2E+07	22	4	43	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	96723	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase
140	1149	DCJHLG_02677	228,97	28	28	1,6E+07	7	1	43	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	35221	malate dehydrogenase
148	161	LLHKPE_02932	324,53	61	61	9,2E+08	20	12	42	Carbamidomethylation; Oxidation (M)	48482	citrate synthase
145	190	LLHKPE_00374	291,26	76	76	3,9E+08	18	9	42	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	40938	Acetyl-CoA acetyltransferase
142	81	LLHKPE_01698	312,67	31	31	2,6E+08	28	21	42	Carbamidomethylation; Deamidation (NQ)	169102	glutamate synthase large subunit
146	71	LLHKPE_00354	318,61	49	49	2,1E+08	21	13	42	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	75316	polyribonucleotide nucleotidyltransferase
147	169	JABIIP_00694	308,21	68	68	6,3E+07	18	2	42	Carbamidomethylation; Deamidation (NQ)	41439	Extracellular ligand-binding receptor
147	170	ODMPFI_03271	308,21	68	68	6,3E+07	18	2	42	Carbamidomethylation; Deamidation (NQ)	41439	Extracellular ligand-binding receptor
152	1086	LLHKPE_01511	292,02	81	81	1,6E+09	11	9	41	Deamidation (NQ); Oxidation (M)	16499	Phasin family protein
153	56	LLHKPE_01514	338,88	52	52	5,7E+08	27	16	41	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	73474	Biotin carboxylase
151	108	JABIIP_02656	317,75	45	45	9,1E+07	22	3	41	Carbamidomethylation; Oxidation (M)	71617	acetate--CoA ligase
150	116	LLHKPE_00517	285,48	30	30	5,6E+07	31	12	41	Carbamidomethylation	163484	DNA-directed RNA polymerase subunit beta'
160	14	FCFFJI_02153	343,03	70	70	1,3E+09	26	25	40	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	50021	dihydrolipoyl dehydrogenase
166	178	FCFFJI_01337	316,81	63	63	7,2E+08	20	16	40	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	41970	methionine adenosyltransferase
154	149	FCFFJI_01298	298,03	43	43	6,9E+08	20	20	40	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	65075	fumarate reductase (quinol) flavoprotein subunit
163	222	LLHKPE_01166	305,26	71	71	5,4E+08	18	13	40	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	41417	Extracellular solute-binding protein  family 7
157	64	JABIIP_02532	297,94	46	46	4,6E+08	22	12	40	Carbamidomethylation; Oxidation (M)	74683	Catalase
155	82	LLHKPE_02959	330,01	35	35	3,2E+08	27	27	40	Deamidation (NQ)	139473	Pilus assembly protein PilC
165	128	LLHKPE_02222	303,54	84	84	3,1E+08	20	15	40	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	43278	beta-ketoacyl-ACP synthase I
158	119	LLHKPE_02230	314,05	43	43	2,8E+08	22	9	40	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	69255	molecular chaperone DnaK
162	134	AIFLKA_00238	307,79	44	44	1,1E+08	20	3	40	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	71790	acetate--CoA ligase
164	148	JABIIP_00684	284,41	50	50	5,0E+07	21	5	40	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	59933	malate synthase A
161	321	JABIIP_01133	300,24	34	34	6,9E+06	14	1	40	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	65254	succinate dehydrogenase flavoprotein subunit
167	158	LGNCKJ_01785	288,93	39	39	5,6E+06	19	1	40	Carbamidomethylation; Oxidation (M)	55694	F0F1 ATP synthase subunit alpha
171	251	LLHKPE_00459	303,22	67	67	5,4E+08	18	5	39	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	38618	Putative lyase
168	69	FCFFJI_01779	306,4	42	42	3,3E+08	23	23	39	Carbamidomethylation; Deamidation (NQ)	78274	polyphosphate kinase 1
170	44	LLHKPE_00985	310,35	48	48	2,3E+08	21	11	39	Carbamidomethylation	74194	elongation factor G
170	45	ODMPFI_03298	310,35	48	48	2,3E+08	21	11	39	Carbamidomethylation	74194	elongation factor G
169	403	DHPIBI_01197	284,81	27	27	1,1E+08	16	2	39	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	67997	phosphoenolpyruvate carboxykinase (GTP)
173	564	AIFLKA_00283	239,42	57	57	4,3E+07	12	5	39	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	26468	Acetoacetyl-CoA reductase
172	162	AIFLKA_01873	289,29	43	43	2,0E+07	20	3	39	Carbamidomethylation	55637	F0F1 ATP synthase subunit alpha
187	163	LLHKPE_00776	304,53	44	44	1,0E+09	19	19	38	Carbamidomethylation; Deamidation (NQ)	71228	DUF4214 domain-containing protein
176	325	LLHKPE_00882	316,91	28	28	8,7E+08	16	6	38	Carbamidomethylation; Oxidation (M)	70259	sodium-translocating pyrophosphatase
182	58	FCFFJI_00814	320,2	47	47	5,7E+08	25	25	38	Carbamidomethylation; Deamidation (NQ)	81170	DUF3141 domain-containing protein
184	103	FCFFJI_01043	324,36	51	51	5,1E+08	22	22	38	Carbamidomethylation; Oxidation (M)	65613	Aldehyde ferredoxin oxidoreductase family protein
174	66	FCFFJI_01152	312,47	45	45	5,0E+08	24	24	38	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	82345	NADP-dependent isocitrate dehydrogenase
178	104	LLHKPE_00748	296,04	44	44	4,4E+08	26	24	38	Oxidation (M)	100960	LysM domain-containing protein
179	179	LLHKPE_01837	307,5	51	51	3,9E+08	20	13	38	Carbamidomethylation; Deamidation (NQ)	56040	type VI secretion system contractile sheath large subunit
183	192	LLHKPE_02829	305,76	55	55	3,5E+08	19	10	38	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	52245	glutamate--ammonia ligase
180	156	LLHKPE_00744	286,65	50	50	3,3E+08	16	14	38	Deamidation (NQ); Oxidation (M)	53713	PANL5
175	48	FCFFJI_00519	291,07	47	47	2,8E+08	20	18	38	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	83594	Ornithine decarboxylase
