
Protein Group	Protein ID	Accession	-10lgP	Coverage (%)	Coverage (%) Sample 6	Area Sample 6	#Peptides	#Unique	#Spec Sample 6	PTM	Avg. Mass	Description
79	10	LLHKPE_00701	380,18	75	75	1540000000	33	22	67	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	62577	Putative acyl-CoA dehydrogenase
25	21	LLHKPE_00710	379,82	72	72	1510000000	34	24	99	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	63539	crotonyl-CoA carboxylase/reductase
82	41	LLHKPE_03554	379,76	60	60	579000000	34	17	67	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	76932	elongation factor G
30	9	LLHKPE_01762	379,37	68	68	3140000000	33	17	94	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	67598	phosphoenolpyruvate carboxykinase (GTP)
60	23	LLHKPE_01236	377,82	62	62	463000000	39	20	75	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	92799	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase
115	215	LLHKPE_02143	377,75	82	82	1860000000	23	14	57	Deamidation (NQ); Oxidation (M)	36357	C4-dicarboxylate-binding periplasmic protein
50	113	AIFLKA_03562	377,04	60	60	195000000	35	8	79	Carbamidomethylation; Oxidation (M)	76869	elongation factor G
106	108	JABIIP_02656	376,68	50	50	152000000	27	3	60	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	71617	acetate--CoA ligase
42	155	AIFLKA_01871	374,49	84	84	252000000	29	5	83	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	49587	F0F1 ATP synthase subunit beta
38	61	JABIIP_02458	374,22	48	48	222000000	34	15	87	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	95575	Alpha-1 4 glucan phosphorylase
27	34	LLHKPE_00675	373,52	54	54	3680000000	31	18	95	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	71668	acetate--CoA ligase
26	85	LLHKPE_02862	373,32	79	79	2130000000	23	9	97	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	41390	Phosphoglycerate kinase
69	214	AIFLKA_02251	371,8	55	55	393000000	34	9	73	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	64645	isocitrate dehydrogenase (NADP(+))
148	302	AIFLKA_03412	370,17	55	55	107000000	28	3	51	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	68943	molecular chaperone DnaK
33	133	LLHKPE_00134	369,26	53	53	4370000000	28	28	91	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	70202	Arylsulfatase
35	167	AIFLKA_02758	368,33	74	74	736000000	22	3	90	Carbamidomethylation; Oxidation (M)	39909	Phosphoglycerate kinase
52	70	LLHKPE_00746	367,78	56	56	1860000000	35	33	76	Deamidation (NQ); Oxidation (M)	103148	Sulfatase
86	32	JABIIP_01758	367,27	50	50	685000000	27	20	66	Deamidation (NQ); Oxidation (M)	68457	Poly-beta-hydroxybutyrate polymerase
112	63	JABIIP_00068	365,9	41	41	77500000	25	5	58	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	79500	methylmalonyl-CoA mutase
102	16	FCFFJI_02000	365,85	52	52	1060000000	28	22	61	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	69960	propionate--CoA ligase
132	119	LLHKPE_02230	365,71	66	66	418000000	32	13	54	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	69255	molecular chaperone DnaK
37	189	JABIIP_01038	365,23	73	73	135000000	25	2	89	Carbamidomethylation; Oxidation (M)	41546	Phosphoglycerate kinase
51	335	AIFLKA_03326	364,22	63	63	235000000	32	3	77	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	60232	Pyridine nucleotide-disulphide oxidoreductase family protein
70	53	LLHKPE_01051	361,68	45	45	646000000	41	27	72	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	130372	pyruvate:ferredoxin (flavodoxin) oxidoreductase
47	30	LLHKPE_02048	361,51	60	60	1520000000	28	17	80	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	55856	F0F1 ATP synthase subunit alpha
108	5440	AIFLKA_02713	360,27	70	70	1080000000	30	21	60	Deamidation (NQ); Oxidation (M)	61763	Arylsulfatase
72	35	JABIIP_02384	359,78	60	60	826000000	30	12	72	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	67903	phosphoenolpyruvate carboxykinase (GTP)
45	651	AIFLKA_02005	359,2	50	50	437000000	26	10	80	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	63892	fumarate reductase (quinol) flavoprotein subunit
85	238	BDJIJG_01406	359,09	67	67	13900000	24	3	66	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	49559	F0F1 ATP synthase subunit beta
91	162	AIFLKA_01873	358,7	58	58	798000000	26	6	64	Deamidation (NQ); Oxidation (M)	55637	F0F1 ATP synthase subunit alpha
29	2	LLHKPE_00524	358,65	77	77	2740000000	29	17	95	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	54613	Glycosyl hydrolase family 57
111	597	AIFLKA_03502	358,16	66	66	544000000	26	12	58	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	59656	alpha-D-glucose phosphate-specific phosphoglucomutase
61	91	LLHKPE_01052	357,91	63	63	785000000	29	11	75	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	60548	Pyridine nucleotide-disulphide oxidoreductase family protein
121	293	BDJIJG_01001	357,86	51	51	147000000	25	7	56	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	71395	acetate--CoA ligase
62	4	JABIIP_01230	357,52	71	71	49700000	22	3	74	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	49454	F0F1 ATP synthase subunit beta
22	86	LLHKPE_02093	357,4	77	77	3150000000	24	15	100	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	45193	phosphopyruvate hydratase
49	55	LLHKPE_00940	357,4	52	52	1100000000	28	14	79	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	87879	hypothetical protein
141	59	LLHKPE_00969	356,98	56	56	979000000	25	12	53	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	59798	malate synthase A
141	60	ODMPFI_03282	356,98	56	56	979000000	25	12	53	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	59798	malate synthase A
32	230	BDJIJG_02101	356,93	65	65	34700000	30	3	91	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	67462	phosphoenolpyruvate carboxykinase (GTP)
12	296	LLHKPE_00373	355,69	77	77	4810000000	20	12	117	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	26508	Acetoacetyl-CoA reductase
59	298	BDJIJG_01354	355,23	74	74	22200000	25	2	75	Carbamidomethylation; Oxidation (M)	41510	Phosphoglycerate kinase
19	305	AIFLKA_02103	354,82	69	69	1160000000	25	8	110	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	45529	phosphopyruvate hydratase
88	311	BDJIJG_01359	354,44	57	57	244000000	28	7	66	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	70138	propionate--CoA ligase
58	40	LLHKPE_03141	353,9	63	63	1130000000	27	18	75	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	65445	succinate dehydrogenase flavoprotein subunit
93	772	AIFLKA_00848	353,86	60	60	635000000	26	11	63	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	63385	Crotonyl-CoA carboxylase/reductase
93	773	AIFLKA_00855	353,86	60	60	635000000	26	11	63	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	63385	Crotonyl-CoA carboxylase/reductase
7	210	BDJIJG_01353	353,84	71	71	42700000	27	3	138	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	35696	type I glyceraldehyde-3-phosphate dehydrogenase
105	75	LLHKPE_01886	353,09	35	35	212000000	36	24	60	Deamidation (NQ)	188902	Alpha-2-macroglobulin
174	51	LLHKPE_00708	352,6	64	64	399000000	27	11	46	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	73049	Putative ethylmalonyl-CoA mutase
151	159	DHPIBI_03031	349,27	41	41	113000000	22	2	50	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	79453	methylmalonyl-CoA mutase
75	255	AIFLKA_01994	348,58	80	80	867000000	24	10	71	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	46130	Glucose-1-phosphate adenylyltransferase
87	84	LLHKPE_01945	347,36	71	71	1330000000	23	7	66	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	39769	Leucine transporter subunit periplasmic-binding component of ABC superfamily
71	389	AIFLKA_00859	347,34	49	49	721000000	27	12	72	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	89256	hypothetical protein
83	31	JABIIP_00347	346,59	53	53	267000000	29	9	66	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	70412	propionate--CoA ligase
55	154	LLHKPE_00957	345,78	77	77	1530000000	23	9	76	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	41526	Extracellular ligand-binding receptor
24	130	JABIIP_01037	344,88	78	78	264000000	27	11	99	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	35819	type I glyceraldehyde-3-phosphate dehydrogenase
252	143	JABIIP_01750	344,3	44	44	19600000	21	2	36	Deamidation (NQ); Oxidation (M)	69008	molecular chaperone DnaK
114	79	JABIIP_01678	344,18	48	48	109000000	30	5	57	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	96723	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase
84	306	BDJIJG_00404	343,71	46	46	137000000	31	14	66	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	95320	Alpha-1 4 glucan phosphorylase
40	231	AIFLKA_01207	343,3	74	74	624000000	29	9	86	Deamidation (NQ); Oxidation (M)	57951	chaperonin GroEL
18	499	AIFLKA_02318	342,42	79	79	307000000	20	2	112	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	38649	class II fructose-bisphosphate aldolase
144	324	LLHKPE_03131	341,75	65	65	531000000	22	8	52	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	42007	S-adenosylmethionine synthase
181	106	JABIIP_02738	341,46	40	40	10100000	23	2	45	Carbamidomethylation; Oxidation (M)	76774	elongation factor G
156	126	BDJIJG_02098	341,45	50	50	127000000	26	4	49	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	92996	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase
39	160	JABIIP_00976	341,21	69	69	63300000	22	4	87	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	45494	phosphopyruvate hydratase
138	330	LLHKPE_02360	341,02	77	77	2140000000	21	10	54	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	28143	2 3-diphosphoglycerate-dependent phosphoglycerate mutase
152	251	LLHKPE_00459	339,63	65	65	542000000	16	5	50	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	38618	Putative lyase
97	479	AIFLKA_00497	339,27	55	55	421000000	23	9	62	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	65509	succinate dehydrogenase flavoprotein subunit
223	369	AIFLKA_01720	338,93	68	68	387000000	18	9	40	Deamidation (NQ); Oxidation (M)	36286	TRAP transporter substrate-binding protein
80	490	AIFLKA_03329	337,45	49	49	456000000	36	19	67	Carbamidomethylation; Oxidation (M)	99367	pyruvate dehydrogenase (acetyl-transferring)  homodimeric type
131	198	JABIIP_02691	337,09	48	48	39000000	28	4	55	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	64656	isocitrate dehydrogenase (NADP(+))
96	413	LLHKPE_00879	336,12	85	85	2060000000	18	13	63	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	28674	RES domain-containing protein
119	22	LLHKPE_01290	335,26	67	67	478000000	26	16	56	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	56184	Fumarate hydratase class I
41	564	AIFLKA_00283	335,12	79	79	3350000000	19	11	85	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	26468	Acetoacetyl-CoA reductase
135	56	LLHKPE_01514	334,57	52	52	669000000	29	13	54	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	73474	Biotin carboxylase
222	1324	AIFLKA_03190	334,09	52	52	532000000	21	13	40	Carbamidomethylation; Oxidation (M)	76210	methylmalonyl-CoA mutase
175	437	AIFLKA_00843	333,46	59	59	438000000	26	11	46	Carbamidomethylation; Deamidation (NQ)	62375	Putative acyl-CoA dehydrogenase
113	102	LLHKPE_02105	332,42	55	55	708000000	23	15	58	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	60671	glucose-6-phosphate isomerase
34	200	LLHKPE_02445	332,39	19	19	7740000000	16	16	90	Deamidation (NQ); Oxidation (M)	133176	hypothetical protein
157	360	AIFLKA_02349	332,11	51	51	108000000	27	7	49	Carbamidomethylation; Oxidation (M)	73461	propionyl-CoA carboxylase
107	308	AIFLKA_02151	331,86	68	68	310000000	23	6	60	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	54619	Glycosyl hydrolase family 57
161	161	LLHKPE_02932	331,61	55	55	1020000000	19	11	49	Carbamidomethylation; Oxidation (M)	48482	citrate synthase
176	399	AIFLKA_00581	329,55	63	63	242000000	19	4	46	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	39531	Branched-chain amino acid ABC transporter substrate-binding protein
255	289	AIFLKA_00846	329,46	53	53	74400000	24	4	36	Carbamidomethylation; Deamidation (NQ)	72585	Putative ethylmalonyl-CoA mutase
329	82	LLHKPE_02959	329,29	30	30	246000000	25	25	31	Carbamidomethylation; Deamidation (NQ)	139473	Pilus assembly protein PilC
142	39	LLHKPE_01512	329,25	42	42	757000000	22	9	52	Deamidation (NQ); Oxidation (M)	68206	Polyhydroxyalkanoate synthase
210	270	BDJIJG_00170	328,29	36	36	24100000	18	3	41	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	79495	methylmalonyl-CoA mutase
188	467	AIFLKA_02887	327,52	30	30	85400000	33	12	43	Carbamidomethylation; Deamidation (NQ)	155362	DNA-directed RNA polymerase subunit beta
177	354	AIFLKA_00911	327,1	79	79	901000000	22	7	46	Deamidation (NQ); Oxidation (M)	28250	2 3-diphosphoglycerate-dependent phosphoglycerate mutase
28	203	AIFLKA_01347	327,03	79	79	4880000000	22	10	95	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	42323	Acetyl-CoA C-acyltransferase
201	207	AIFLKA_02559	326,82	55	55	181000000	21	4	42	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	59952	malate synthase A
208	137	LGNCKJ_00048	326,81	43	43	62000000	26	4	41	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	93190	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase
128	89	JABIIP_02836	326,36	53	53	191000000	22	7	55	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	64281	fumarate reductase (quinol) flavoprotein subunit
304	363	LLHKPE_00702	325,58	57	57	581000000	16	5	33	Carbamidomethylation; Oxidation (M)	43469	Putative acyl dehydratase
136	193	LLHKPE_00968	325,04	59	59	1080000000	21	8	54	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	47554	isocitrate lyase
120	153	LLHKPE_01272	324,92	62	62	1400000000	22	14	56	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	39821	proton-translocating NAD(P)(+) transhydrogenase
187	257	LLHKPE_00829	324,73	74	74	753000000	22	16	44	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	39081	3-phosphoserine/phosphohydroxythreonine transaminase
158	24	LLHKPE_01515	324,49	52	52	336000000	22	8	49	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	56077	Methylmalonyl-CoA carboxyltransferase
65	619	AIFLKA_02200	324,42	53	53	2410000000	15	6	74	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	35203	malate dehydrogenase
116	204	DHPIBI_03447	323,9	58	58	2760000000	19	13	57	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	41535	elongation factor Tu
184	1100	AIFLKA_01985	323,48	88	88	196000000	13	4	45	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	21457	Superoxide dismutase
140	190	LLHKPE_00374	322,77	78	78	513000000	20	12	54	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	40938	Acetyl-CoA acetyltransferase
130	158	LGNCKJ_01785	322,74	42	42	4210000	19	1	55	Deamidation (NQ); Oxidation (M)	55694	F0F1 ATP synthase subunit alpha
179	351	LLHKPE_00429	322,66	76	76	2010000000	21	17	45	Deamidation (NQ); Oxidation (M)	34317	peptidylprolyl isomerase
299	358	BDJIJG_02289	322,43	37	37	121000000	19	8	33	Deamidation (NQ); Oxidation (M)	68542	Class I poly(R)-hydroxyalkanoic acid synthase
95	340	AIFLKA_02570	322,35	62	62	207000	21	3	63	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	41550	Extracellular ligand-binding receptor
16	232	LLHKPE_03949	321,8	83	83	1580000000	20	10	114	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	38631	class II fructose-bisphosphate aldolase
145	157	BDJIJG_01404	321,26	53	53	49300000	22	6	52	Deamidation (NQ); Oxidation (M)	55685	F0F1 ATP synthase subunit alpha
53	274	LGNCKJ_01570	321,24	48	48	7980000	19	2	76	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	45643	phosphopyruvate hydratase
21	378	LLHKPE_00130	320,75	56	56	4350000000	16	9	102	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	35093	malate dehydrogenase
43	317	JABIIP_01958	320,26	80	80	54400000	19	4	83	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	38568	class II fructose-bisphosphate aldolase
183	261	BDJIJG_03137	320,19	44	44	24400000	23	3	45	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	64640	isocitrate dehydrogenase (NADP(+))
173	142	LLHKPE_03372	320,05	55	55	355000000	18	8	47	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	50955	dihydrolipoyl dehydrogenase
122	72	LLHKPE_03358	320,02	45	45	211000000	33	18	56	Carbamidomethylation; Oxidation (M)	99144	pyruvate dehydrogenase (acetyl-transferring)  homodimeric type
126	36	JABIIP_01232	319,93	52	52	106000000	22	5	55	Deamidation (NQ); Oxidation (M)	55893	F0F1 ATP synthase subunit alpha
109	1086	LLHKPE_01511	319,88	92	92	2180000000	15	10	60	Deamidation (NQ); Oxidation (M)	16499	Phasin family protein
248	1394	AIFLKA_02764	319,24	78	78	910000000	14	8	37	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	31797	Electron transfer flavoprotein alpha-subunit
147	147	AIFLKA_02348	318,86	52	52	235000000	22	4	51	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	56248	Methylmalonyl-CoA carboxyltransferase
191	234	LLHKPE_02739	318,1	57	57	3460000000	16	16	43	Carbamidomethylation; Deamidation (NQ)	43722	DUF4331 domain-containing protein
67	908	AIFLKA_03443	317,68	79	79	934000000	16	2	74	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	29796	succinate--CoA ligase subunit alpha
197	747	AIFLKA_00243	316,48	59	59	254000000	17	6	43	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	51267	dihydrolipoyl dehydrogenase
308	1937	AIFLKA_00641	316,4	44	44	291000000	20	17	33	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	83663	NADH-quinone oxidoreductase
232	536	AIFLKA_01612	316,13	60	60	22300000	20	1	38	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	54955	Fumarate hydratase class I
81	435	LLHKPE_01685	315,32	40	40	11900000000	11	11	67	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	52613	DNRLRE domain-containing protein
57	95	JABIIP_01279	315,02	56	56	173000000	22	7	75	Deamidation (NQ); Oxidation (M)	57720	chaperonin GroEL
321	621	AIFLKA_02560	314,96	58	58	457000000	18	8	32	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	47495	isocitrate lyase
133	127	DHPIBI_01406	314,7	26	26	95100000	25	5	54	Carbamidomethylation; Oxidation (M)	130881	pyruvate:ferredoxin (flavodoxin) oxidoreductase
333	17	FCFFJI_01093	314,61	50	50	357000000	22	22	31	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	48651	ABC transporter substrate-binding protein
90	1690	AIFLKA_02352	314,31	71	71	2840000000	16	7	65	Deamidation (NQ); Oxidation (M)	16748	Phasin
159	104	LLHKPE_00748	314,23	42	42	614000000	28	26	49	Oxidation (M)	100960	LysM domain-containing protein
54	585	LLHKPE_01146	314,05	69	69	1320000000	15	5	76	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	29478	succinate--CoA ligase subunit alpha
155	169	JABIIP_00694	313,8	55	55	27300000	17	2	50	Carbamidomethylation; Deamidation (NQ)	41439	Extracellular ligand-binding receptor
155	170	ODMPFI_03271	313,8	55	55	27300000	17	2	50	Carbamidomethylation; Deamidation (NQ)	41439	Extracellular ligand-binding receptor
239	370	AIFLKA_01342	313,68	56	56	128000000	19	5	38	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	44426	pyrophosphate--fructose-6-phosphate 1-phosphotransferase
153	1047	AIFLKA_01169	313,6	49	49	676000000	20	11	50	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	60662	glucose-6-phosphate isomerase
285	18324	AIFLKA_02285	313,4	50	50	1240000000	17	17	34	Deamidation (NQ); Oxidation (M)	60321	Arylsulfatase
170	877	AIFLKA_01961	313,21	63	63	9160000	22	1	47	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	41775	methionine adenosyltransferase
413	248	LLHKPE_01913	313,12	49	49	343000000	17	13	26	Oxidation (M)	50283	Putative periplasmic serine endoprotease DegP-like
244	71	LLHKPE_00354	312,77	40	40	145000000	20	8	37	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	75316	polyribonucleotide nucleotidyltransferase
324	876	LLHKPE_00472	312,67	71	71	327000000	11	4	32	Carbamidomethylation; Oxidation (M)	16929	VOC domain-containing protein
204	420	BDJIJG_00134	312,18	36	36	20600000	17	4	42	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	63877	fumarate reductase (quinol) flavoprotein subunit
165	92	LLHKPE_01147	311,85	64	64	2350000000	19	12	49	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	41150	ADP-forming succinate--CoA ligase subunit beta
221	464	AIFLKA_00559	311,4	48	48	181000000	23	8	40	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	75401	polyribonucleotide nucleotidyltransferase
261	304	LLHKPE_00764	311,34	47	47	662000000	20	20	36	Carbamidomethylation; Oxidation (M)	60594	LysM domain-containing protein
192	118	LLHKPE_02176	310,22	57	57	465000000	19	12	43	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	55437	Aldehyde dehydrogenase
203	572	DHPIBI_03273	310,04	41	41	4300000	19	3	42	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	63345	crotonyl-CoA carboxylase/reductase
63	209	JABIIP_00299	309,67	77	77	623000000	20	11	74	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	42722	Acetyl-CoA C-acyltransferase
242	88	FCFFJI_01079	308,69	50	50	965000000	16	16	37	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	47467	Branched-chain amino acid ABC transporter substrate-binding protein
314	135	LLHKPE_03692	307,79	44	44	275000000	20	14	32	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	66014	dihydroxy-acid dehydratase
193	50	FCFFJI_02098	307,58	43	43	718000000	23	21	43	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	71280	acetate--CoA ligase
198	148	JABIIP_00684	307,28	48	48	91700000	20	7	42	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	59933	malate synthase A
274	194	JABIIP_02890	306,85	51	51	48900000	16	7	35	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	59321	alpha-D-glucose phosphate-specific phosphoglucomutase
127	332	AIFLKA_02868	306,84	69	69	92400000	19	1	55	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	38644	Putative lyase
310	179	LLHKPE_01837	306,8	43	43	212000000	17	11	32	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	56040	type VI secretion system contractile sheath large subunit
