Protein Group	Protein ID	Accession	-10lgP	Coverage (%)	Coverage (%) Sample 4	Area Sample 4	#Peptides	#Unique	#Spec Sample 4	PTM	Avg. Mass	Description
34	39	LLHKPE_01512	347,06	52	52	2020000000	27	12	85	Deamidation (NQ); Oxidation (M)	68206	Polyhydroxyalkanoate synthase
60	15	FCFFJI_01613	346,51	56	56	1700000000	26	26	70	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	68347	Class I poly(R)-hydroxyalkanoic acid synthase
6	296	LLHKPE_00373	345,98	80	80	5980000000	21	12	122	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	26508	Acetoacetyl-CoA reductase
39	55	LLHKPE_00940	345,71	54	54	1520000000	30	18	81	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	87879	hypothetical protein
44	91	LLHKPE_01052	343,81	68	68	1220000000	28	12	78	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	60548	Pyridine nucleotide-disulphide oxidoreductase family protein
32	2	LLHKPE_00524	343,27	83	83	3060000000	29	18	87	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	54613	Glycosyl hydrolase family 57
92	61	JABIIP_02458	343,26	42	42	145000000	31	15	56	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	95575	Alpha-1 4 glucan phosphorylase
49	54	DHPIBI_00441	343,04	41	41	37400000	31	2	76	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	101346	pyruvate  phosphate dikinase
30	4	JABIIP_01230	342,35	79	79	67800000	26	3	89	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	49454	F0F1 ATP synthase subunit beta
81	154	LLHKPE_00957	342,24	77	77	1940000000	23	10	60	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	41526	Extracellular ligand-binding receptor
35	85	LLHKPE_02862	341,99	73	73	3570000000	22	9	85	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	41390	Phosphoglycerate kinase
83	32	JABIIP_01758	340,63	53	53	692000000	27	21	59	Deamidation (NQ); Oxidation (M)	68457	Poly-beta-hydroxybutyrate polymerase
89	67	FCFFJI_02627	339,82	38	38	353000000	38	33	57	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	157890	DNA-directed RNA polymerase subunit beta
125	120	FCFFJI_01465	339,73	51	51	519000000	25	22	48	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	69251	molecular chaperone DnaK
160	14	FCFFJI_02153	339,7	62	62	1140000000	24	23	44	Carbamidomethylation; Deamidation (NQ)	50021	dihydrolipoyl dehydrogenase
15	95	JABIIP_01279	339,1	60	60	244000000	27	9	104	Deamidation (NQ); Oxidation (M)	57720	chaperonin GroEL
102	59	LLHKPE_00969	338,73	58	58	1080000000	27	10	52	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	59798	malate synthase A
102	60	ODMPFI_03282	338,73	58	58	1080000000	27	10	52	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	59798	malate synthase A
202	27	FCFFJI_00372	337,81	58	58	763000000	25	25	39	Deamidation (NQ); Oxidation (M)	66781	TonB-dependent receptor
144	103	FCFFJI_01043	335,85	54	54	539000000	25	25	46	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	65613	Aldehyde ferredoxin oxidoreductase family protein
66	75	LLHKPE_01886	333,89	38	38	613000000	42	42	65	Deamidation (NQ); Oxidation (M)	188902	Alpha-2-macroglobulin
42	234	LLHKPE_02739	333,71	67	67	14400000000	18	18	78	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	43722	DUF4331 domain-containing protein
103	63	JABIIP_00068	333,12	45	45	29000000	23	4	52	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	79500	methylmalonyl-CoA mutase
37	31	JABIIP_00347	333,01	58	58	264000000	32	7	83	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	70412	propionate--CoA ligase
74	43	FCFFJI_00093	332,89	51	51	1050000000	29	21	62	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	92663	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase
63	141	FCFFJI_01428	332,77	71	71	1880000000	28	28	67	Deamidation (NQ); Oxidation (M)	37140	TRAP transporter substrate-binding protein
136	51	LLHKPE_00708	331,46	67	67	417000000	28	13	47	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	73049	Putative ethylmalonyl-CoA mutase
54	238	BDJIJG_01406	331,02	56	56	892000	22	1	71	Carbamidomethylation; Oxidation (M)	49559	F0F1 ATP synthase subunit beta
109	22	LLHKPE_01290	329,93	67	67	552000000	24	15	51	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	56184	Fumarate hydratase class I
115	28	FCFFJI_02474	329,58	50	50	572000000	23	19	50	Carbamidomethylation; Deamidation (NQ)	68054	phosphoenolpyruvate carboxykinase (GTP)
17	412	FCFFJI_00925	329,29	52	52	11900000000	15	15	101	Deamidation (NQ); Oxidation (M)	42704	Porin domain-containing protein
88	413	LLHKPE_00879	329,11	85	85	2570000000	18	13	58	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	28674	RES domain-containing protein
157	179	LLHKPE_01837	327,55	61	61	742000000	24	19	44	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	56040	type VI secretion system contractile sheath large subunit
82	104	LLHKPE_00748	325,88	53	53	845000000	34	31	59	Oxidation (M)	100960	LysM domain-containing protein
124	251	LLHKPE_00459	325,79	70	70	830000000	19	5	49	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	38618	Putative lyase
12	144	LGNCKJ_02221	325,59	62	62	11000000	25	3	113	Deamidation (NQ); Oxidation (M)	57942	chaperonin GroEL
107	136	LLHKPE_00515	324,38	37	37	233000000	35	19	51	Carbamidomethylation; Deamidation (NQ)	154940	DNA-directed RNA polymerase subunit beta
104	193	LLHKPE_00968	324,36	57	57	1310000000	21	8	52	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	47554	isocitrate lyase
105	351	LLHKPE_00429	324,36	75	75	3020000000	20	16	52	Deamidation (NQ); Oxidation (M)	34317	peptidylprolyl isomerase
139	44	LLHKPE_00985	323,55	51	51	426000000	24	13	46	Carbamidomethylation; Deamidation (NQ)	74194	elongation factor G
139	45	ODMPFI_03298	323,55	51	51	426000000	24	13	46	Carbamidomethylation; Deamidation (NQ)	74194	elongation factor G
135	257	LLHKPE_00829	322,07	74	74	843000000	21	17	47	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	39081	3-phosphoserine/phosphohydroxythreonine transaminase
52	6	FCFFJI_02367	322,02	70	70	1120000000	29	27	73	Deamidation (NQ); Oxidation (M)	54419	Cell envelope protein
58	153	LLHKPE_01272	321,56	66	66	1890000000	21	14	70	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	39821	proton-translocating NAD(P)(+) transhydrogenase
163	118	LLHKPE_02176	319,4	63	63	616000000	22	13	43	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	55437	Aldehyde dehydrogenase
143	38	FCFFJI_00407	319,14	57	57	524000000	27	17	46	Carbamidomethylation; Oxidation (M)	55277	F0F1 ATP synthase subunit alpha
126	47	FCFFJI_01351	319,03	45	45	434000000	34	31	48	Carbamidomethylation; Deamidation (NQ)	100840	pyruvate dehydrogenase (acetyl-transferring)  homodimeric type
29	200	LLHKPE_02445	319,02	20	20	11100000000	15	15	91	Deamidation (NQ); Oxidation (M)	133176	hypothetical protein
51	160	JABIIP_00976	318,84	61	61	135000000	24	6	76	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	45494	phosphopyruvate hydratase
114	167	AIFLKA_02758	318,79	60	60	31500000	18	2	50	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	39909	Phosphoglycerate kinase
129	102	LLHKPE_02105	318,72	51	51	1020000000	21	15	48	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	60671	glucose-6-phosphate isomerase
97	189	JABIIP_01038	317,89	66	66	158000000	19	2	55	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	41546	Phosphoglycerate kinase
184	56	LLHKPE_01514	317,86	45	45	879000000	25	13	40	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	73474	Biotin carboxylase
153	108	JABIIP_02656	316,9	44	44	132000000	21	3	44	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	71617	acetate--CoA ligase
90	258	FCFFJI_00865	316,79	55	55	1560000000	19	16	57	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	51721	type I glutamate--ammonia ligase
128	72	LLHKPE_03358	315,99	44	44	341000000	31	19	48	Carbamidomethylation	99144	pyruvate dehydrogenase (acetyl-transferring)  homodimeric type
181	52	FCFFJI_01030	315,28	50	50	1270000000	20	20	41	Carbamidomethylation; Oxidation (M)	64196	Poly-beta-hydroxybutyrate polymerase
99	92	LLHKPE_01147	314,88	77	77	2480000000	23	14	54	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	41150	ADP-forming succinate--CoA ligase subunit beta
127	74	FCFFJI_02151	314,87	40	40	694000000	27	26	48	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	105147	2-oxoglutarate dehydrogenase E1 component
24	232	LLHKPE_03949	313,82	79	79	1490000000	18	8	93	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	38631	class II fructose-bisphosphate aldolase
196	248	LLHKPE_01913	313,66	60	60	715000000	21	19	39	Oxidation (M)	50283	Putative periplasmic serine endoprotease DegP-like
190	143	JABIIP_01750	313,56	39	39	17500000	20	2	39	Deamidation (NQ); Oxidation (M)	69008	molecular chaperone DnaK
117	36	JABIIP_01232	313,32	57	57	135000000	25	7	50	Carbamidomethylation; Oxidation (M)	55893	F0F1 ATP synthase subunit alpha
131	330	LLHKPE_02360	312,7	69	69	2000000000	18	9	48	Carbamidomethylation; Oxidation (M)	28143	2 3-diphosphoglycerate-dependent phosphoglycerate mutase
149	87	FCFFJI_01918	312,45	51	51	717000000	21	17	45	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	64476	succinate dehydrogenase flavoprotein subunit
152	68	LLHKPE_01859	312,41	45	45	593000000	22	20	45	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	83791	NADH-quinone oxidoreductase subunit NuoG
147	81	LLHKPE_01698	312,31	31	31	259000000	30	22	45	Carbamidomethylation; Deamidation (NQ)	169102	glutamate synthase large subunit
176	142	LLHKPE_03372	312,28	55	55	1070000000	19	15	41	Carbamidomethylation; Deamidation (NQ)	50955	dihydrolipoyl dehydrogenase
132	24	LLHKPE_01515	312,15	63	63	390000000	23	10	47	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	56077	Methylmalonyl-CoA carboxyltransferase
173	150	LLHKPE_01560	312,14	58	58	222000000	26	16	42	Carbamidomethylation; Deamidation (NQ)	61431	30S ribosomal protein S1
120	71	LLHKPE_00354	311,24	54	54	387000000	24	12	49	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	75316	polyribonucleotide nucleotidyltransferase
45	216	FCFFJI_01922	310,64	67	67	2520000000	17	12	78	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	35165	malate dehydrogenase
192	132	AIFLKA_02351	310,58	31	31	49500000	16	5	39	Deamidation (NQ); Oxidation (M)	68470	Poly-beta-hydroxybutyrate polymerase
249	196	LLHKPE_03360	310,14	49	49	236000000	20	13	35	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	63953	dihydrolipoyl dehydrogenase
38	1086	LLHKPE_01511	309,76	92	92	5780000000	15	10	82	Deamidation (NQ); Oxidation (M)	16499	Phasin family protein
238	876	LLHKPE_00472	309,25	89	89	498000000	13	5	36	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	16929	VOC domain-containing protein
133	325	LLHKPE_00882	308,22	29	29	1120000000	17	4	47	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	70259	sodium-translocating pyrophosphatase
93	89	JABIIP_02836	308,15	40	40	86600000	17	6	56	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	64281	fumarate reductase (quinol) flavoprotein subunit
279	202	LLHKPE_00781	308,01	31	31	471000000	17	17	32	Deamidation (NQ); Oxidation (M)	71381	DUF4214 domain-containing protein
67	130	JABIIP_01037	307,58	85	85	238000000	24	11	65	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	35819	type I glyceraldehyde-3-phosphate dehydrogenase
69	190	LLHKPE_00374	307,4	78	78	688000000	20	12	65	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	40938	Acetyl-CoA acetyltransferase
158	161	LLHKPE_02932	307,34	55	55	1420000000	19	13	44	Carbamidomethylation; Oxidation (M)	48482	citrate synthase
94	97	AIFLKA_01000	307,3	50	50	24300000	21	4	55	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	67581	phosphoenolpyruvate carboxykinase (GTP)
232	310	FCFFJI_02420	307,24	65	65	1060000000	22	19	36	Oxidation (M)	41921	TRAP transporter substrate-binding protein
68	129	FCFFJI_02319	306,7	80	80	4300000000	18	18	65	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	40461	Acetyl-CoA C-acyltransferase family protein
156	133	LLHKPE_00134	306,68	44	44	937000000	22	22	44	Carbamidomethylation; Deamidation (NQ)	70202	Arylsulfatase
187	277	LGNCKJ_02365	305,8	27	27	2600000	14	2	40	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	63985	Fumarate reductase flavoprotein subunit
22	210	BDJIJG_01353	304,92	61	61	15800000	20	1	94	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	35696	type I glyceraldehyde-3-phosphate dehydrogenase
122	714	LLHKPE_01490	304,72	88	88	2170000000	13	6	49	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	21364	Superoxide dismutase
285	246	LLHKPE_01027	304,59	57	57	293000000	17	8	31	Carbamidomethylation; Oxidation (M)	45533	bifunctional O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase
55	274	LGNCKJ_01570	303,99	56	56	57000000	20	4	71	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	45643	phosphopyruvate hydratase
216	135	LLHKPE_03692	303,93	51	51	283000000	23	15	37	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	66014	dihydroxy-acid dehydratase
209	206	LLHKPE_03318	303,81	49	49	1050000000	17	17	38	Deamidation (NQ); Oxidation (M)	51038	DUF945 domain-containing protein
16	378	LLHKPE_00130	303,46	53	53	5130000000	15	9	103	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	35093	malate dehydrogenase
155	134	AIFLKA_00238	303,28	34	34	47000000	17	1	44	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	71790	acetate--CoA ligase
185	79	JABIIP_01678	303,1	42	42	39000000	23	7	40	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	96723	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase
170	173	FCFFJI_02536	302,68	62	62	686000000	23	23	42	Deamidation (NQ); Oxidation (M)	50027	Outer membrane lipoprotein-sorting protein
241	235	FCFFJI_02163	302,34	56	56	974000000	16	16	36	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	45559	Bifunctional O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase
137	230	BDJIJG_02101	302,19	46	46	865000	20	1	47	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	67462	phosphoenolpyruvate carboxykinase (GTP)
294	331	FCFFJI_00132	301,8	54	54	1170000000	15	12	31	Deamidation (NQ); Oxidation (M)	41285	ADP-forming succinate--CoA ligase subunit beta
205	33	FCFFJI_00620	301,77	58	58	420000000	25	11	38	Carbamidomethylation; Oxidation (M)	59424	malate synthase A
270	148	JABIIP_00684	301,76	50	50	60100000	23	6	33	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	59933	malate synthase A
108	116	LLHKPE_00517	300,91	28	28	107000000	34	11	51	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	163484	DNA-directed RNA polymerase subunit beta'
113	73	FCFFJI_01107	300,89	25	25	201000000	25	21	50	Carbamidomethylation; Deamidation (NQ)	168945	glutamate synthase large subunit
174	131	LLHKPE_02419	300,85	58	58	933000000	18	18	42	Deamidation (NQ); Oxidation (M)	71327	Bacterial virulence factor lipase N-terminal domain-containing protein
111	433	LGNCKJ_02550	300,46	64	64	43400000	15	3	51	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	26629	Acetoacetyl-CoA reductase
75	192	LLHKPE_02829	299,68	47	47	472000000	17	7	62	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	52245	glutamate--ammonia ligase
262	178	FCFFJI_01337	299,29	51	51	507000000	19	16	34	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	41970	methionine adenosyltransferase
78	317	JABIIP_01958	299,2	72	72	96700000	18	3	61	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	38568	class II fructose-bisphosphate aldolase
296	101	FCFFJI_00648	299,17	38	38	446000000	19	19	31	Carbamidomethylation; Deamidation (NQ)	62460	biosynthetic-type acetolactate synthase large subunit
73	350	JABIIP_02930	299,01	74	74	1120000000	17	10	63	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	26575	Acetoacetyl-CoA reductase
208	253	LLHKPE_00482	298,47	47	47	678000000	19	12	38	Deamidation (NQ); Oxidation (M)	39827	Extracellular ligand-binding receptor
146	128	LLHKPE_02222	298,23	79	79	490000000	18	14	46	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	43278	beta-ketoacyl-ACP synthase I
204	66	FCFFJI_01152	298,03	40	40	463000000	20	20	38	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	82345	NADP-dependent isocitrate dehydrogenase
177	487	LLHKPE_02810	298,01	70	70	906000000	15	10	41	Carbamidomethylation; Oxidation (M)	32092	Putative hydroxyacyl/hydroxybutyrl-CoA dehydrogenase
219	304	LLHKPE_00764	297,65	48	48	882000000	21	21	37	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	60594	LysM domain-containing protein
41	874	FCFFJI_00074	296,51	50	50	6320000000	11	9	79	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	26100	Acetoacetyl-CoA reductase
246	29	FCFFJI_02096	296,38	66	66	578000000	19	16	35	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	54569	Fumarate hydratase class I
198	25	FCFFJI_01945	296,26	45	45	722000000	19	19	39	Deamidation (NQ); Oxidation (M)	62550	30S ribosomal protein S1
298	125	FCFFJI_02082	296,12	30	30	422000000	16	16	31	Carbamidomethylation	119042	VWFA domain-containing protein
46	435	LLHKPE_01685	295,87	45	45	17900000000	12	12	77	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	52613	DNRLRE domain-containing protein
80	585	LLHKPE_01146	295,8	68	68	2730000000	13	5	60	Carbamidomethylation; Oxidation (M)	29478	succinate--CoA ligase subunit alpha
169	444	LLHKPE_01050	294,96	66	66	1270000000	16	14	42	Deamidation (NQ); Oxidation (M)	36254	Dihydroorotate dehydrogenase catalytic domain-containing protein
227	149	FCFFJI_01298	294,55	37	37	518000000	17	17	36	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	65075	fumarate reductase (quinol) flavoprotein subunit
134	445	LLHKPE_03384	293,82	63	63	3400000000	14	12	47	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	30041	Extracellular solute-binding protein family 3
274	270	BDJIJG_00170	293,8	27	27	7900000	16	2	33	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	79495	methylmalonyl-CoA mutase
112	318	FCFFJI_02160	293,8	44	44	2230000000	14	14	51	Deamidation (NQ); Oxidation (M)	43710	ABC transporter substrate-binding protein
76	231	AIFLKA_01207	293,61	43	43	4690000	20	1	62	Deamidation (NQ); Oxidation (M)	57951	chaperonin GroEL
389	100	FCFFJI_00358	293,34	46	46	276000000	18	11	26	Carbamidomethylation; Deamidation (NQ)	56255	putative propionyl-coa carboxylase beta subunit
401	98	FCFFJI_01989	293,04	48	48	280000000	18	18	25	Carbamidomethylation	63230	Acyl-CoA dehydrogenase
234	363	LLHKPE_00702	292,08	59	59	674000000	17	6	36	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	43469	Putative acyl dehydratase
223	94	LLHKPE_00525	291,29	56	56	195000000	20	15	36	Carbamidomethylation; Deamidation (NQ)	56341	glycogen synthase GlgA
121	790	FCFFJI_02210	290,65	54	54	2970000000	14	14	49	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	24459	DUF47 family protein
171	332	AIFLKA_02868	290,59	45	45	7780000	15	1	42	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	38644	Putative lyase
212	358	BDJIJG_02289	290,47	29	29	324000000	16	3	37	Oxidation (M)	68542	Class I poly(R)-hydroxyalkanoic acid synthase
327	222	LLHKPE_01166	290,31	64	64	570000000	15	11	29	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	41417	Extracellular solute-binding protein  family 7
106	185	LLHKPE_00890	290,04	45	45	1310000000	16	16	52	Deamidation (NQ); Oxidation (M)	60260	Putative Multicopper oxidase type 3
290	105	LLHKPE_01304	289,84	40	40	294000000	17	11	31	Carbamidomethylation	60237	Electron transfer flavoprotein-ubiquinone oxidoreductase
178	8	FCFFJI_00625	289,66	66	66	875000000	20	15	41	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	47768	isocitrate lyase
272	271	JABIIP_00685	288,81	48	48	29900000	15	3	33	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	47671	isocitrate lyase
116	62	AIFLKA_02199	288,72	37	37	5580000	22	2	50	Carbamidomethylation; Oxidation (M)	70334	propionate--CoA ligase
304	349	JABIIP_00589	288,49	51	51	72000000	17	4	30	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	40055	Leucine transporter subunit periplasmic-binding component of ABC superfamily
404	341	FCFFJI_02559	288,49	40	40	206000000	17	13	25	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	65939	dihydroxy-acid dehydratase
